date,Nifty50,NiftyNext50,NiftyMidcap100
03-01-2017,3,6.048,4.934
04-01-2017,2.998,6.027,5.007
05-01-2017,3.13,6.285,5.206
06-01-2017,3.082,6.248,5.184
09-01-2017,3.07,6.256,5.204
10-01-2017,3.153,6.422,5.317
11-01-2017,3.299,6.631,5.496
12-01-2017,3.341,6.689,5.53
13-01-2017,3.331,6.708,5.516
16-01-2017,3.35,6.813,5.578
17-01-2017,3.327,6.805,5.582
18-01-2017,3.357,6.908,5.67
19-01-2017,3.386,6.956,5.711
20-01-2017,3.25,6.707,5.453
23-01-2017,3.317,6.852,5.526
24-01-2017,3.45,7.032,5.68
25-01-2017,3.652,7.26,5.851
27-01-2017,3.713,7.352,5.989
30-01-2017,3.699,7.448,5.986
31-01-2017,3.586,7.174,5.756
01-02-2017,3.832,7.526,6.075
02-02-2017,3.86,7.644,6.183
03-02-2017,3.871,7.664,6.391
06-02-2017,3.966,7.857,6.533
07-02-2017,3.915,7.802,6.459
08-02-2017,3.916,7.889,6.534
09-02-2017,3.931,7.896,6.607
10-02-2017,3.955,7.854,6.588
13-02-2017,3.973,7.856,6.489
14-02-2017,3.953,7.687,6.449
15-02-2017,3.845,7.465,6.185
16-02-2017,3.93,7.767,6.453
17-02-2017,3.999,7.89,6.528
20-02-2017,4.091,8.004,6.713
21-02-2017,4.136,8.158,6.818
22-02-2017,4.166,8.047,6.716
23-02-2017,4.186,7.983,6.721
27-02-2017,4.118,7.963,6.741
28-02-2017,4.091,8.019,6.846
01-03-2017,4.196,8.042,6.906
02-03-2017,4.123,7.781,6.651
03-03-2017,4.12,7.773,6.727
06-03-2017,4.224,7.874,6.83
07-03-2017,4.198,7.856,6.835
08-03-2017,4.162,7.797,6.726
09-03-2017,4.166,7.772,6.696
10-03-2017,4.178,7.737,6.653
14-03-2017,4.42,8.02,6.894
15-03-2017,4.417,8.135,7.034
16-03-2017,4.526,8.388,7.268
17-03-2017,4.536,8.38,7.277
20-03-2017,4.483,8.383,7.339
21-03-2017,4.475,8.282,7.302
22-03-2017,4.331,8.111,7.093
23-03-2017,4.419,8.293,7.268
24-03-2017,4.454,8.3,7.312
27-03-2017,4.354,8.223,7.304
28-03-2017,4.442,8.364,7.412
29-03-2017,4.51,8.378,7.433
30-03-2017,4.558,8.453,7.49
31-03-2017,4.558,8.531,7.579
03-04-2017,4.66,8.603,7.718
05-04-2017,4.703,8.796,7.855
06-04-2017,4.698,8.857,7.857
07-04-2017,4.597,8.851,7.784
10-04-2017,4.57,8.984,7.86
11-04-2017,4.658,9.087,8.093
12-04-2017,4.605,9.119,7.986
13-04-2017,4.522,9.087,7.94
17-04-2017,4.503,9.043,8.021
18-04-2017,4.449,8.841,7.899
19-04-2017,4.446,8.955,8.028
20-04-2017,4.499,9.024,8.191
21-04-2017,4.472,9.067,8.195
24-04-2017,4.628,9.227,8.308
25-04-2017,4.769,9.521,8.463
26-04-2017,4.841,9.481,8.423
27-04-2017,4.825,9.388,8.406
28-04-2017,4.765,9.42,8.488
02-05-2017,4.78,9.518,8.592
03-05-2017,4.777,9.507,8.529
04-05-2017,4.853,9.56,8.633
05-05-2017,4.735,9.286,8.449
08-05-2017,4.781,9.369,8.566
09-05-2017,4.785,9.524,8.661
10-05-2017,4.929,9.776,8.764
11-05-2017,4.953,9.808,8.769
12-05-2017,4.918,9.716,8.645
15-05-2017,4.989,9.881,8.815
16-05-2017,5.095,9.875,8.909
17-05-2017,5.117,9.771,8.859
18-05-2017,4.964,9.366,8.43
19-05-2017,4.961,9.254,8.319
22-05-2017,4.978,9.093,8.114
23-05-2017,4.895,8.838,7.812
24-05-2017,4.854,8.553,7.501
25-05-2017,5.091,8.744,7.73
26-05-2017,5.227,9.169,7.977
29-05-2017,5.242,8.98,7.608
30-05-2017,5.273,9.121,7.798
31-05-2017,5.268,9.201,7.899
01-06-2017,5.26,9.252,8.009
02-06-2017,5.319,9.369,8.164
05-06-2017,5.354,9.518,8.224
