Date,Nifty50,NiftyNext50,NiftyMidcap100
03-01-2017,8192.25,21753.44922,14609.84961
04-01-2017,8190.5,21724.84961,14681.25
05-01-2017,8273.799805,22074.59961,14876.15039
06-01-2017,8243.799805,22024.44922,14854.2002
09-01-2017,8236.049805,22035.5,14873.4502
10-01-2017,8288.599609,22260.5,14984.2998
11-01-2017,8380.650391,22543.25,15159.75
12-01-2017,8407.200195,22622.69922,15192.90039
13-01-2017,8400.349609,22647.65039,15178.65039
16-01-2017,8412.799805,22789.90039,15239.34961
17-01-2017,8398,22779.34961,15243.2998
18-01-2017,8417,22919.09961,15329.65039
19-01-2017,8435.099609,22983.94922,15370.2002
20-01-2017,8349.349609,22646.05078,15117.15039
23-01-2017,8391.5,22843.30078,15188.75
24-01-2017,8475.799805,23087.34961,15339.25
25-01-2017,8602.75,23395.59961,15506.7998
27-01-2017,8641.25,23520.30078,15641.34961
30-01-2017,8632.75,23651.34961,15638.65039
31-01-2017,8561.299805,23279.30078,15413.7002
01-02-2017,8716.400391,23756.90039,15726.15039
02-02-2017,8734.25,23916.59961,15831.5498
03-02-2017,8740.950195,23943.15039,16035.2002
06-02-2017,8801.049805,24205.75,16174
07-02-2017,8768.299805,24130.34961,16101.7002
08-02-2017,8769.049805,24249.19922,16175.2998
09-02-2017,8778.400391,24257.80078,16246.34961
10-02-2017,8793.549805,24201.84961,16227.7002
13-02-2017,8805.049805,24204.30078,16131.2998
14-02-2017,8792.299805,23974.84961,16092
15-02-2017,8724.700195,23673.59961,15833.84961
16-02-2017,8778,24084.09961,16095.7002
17-02-2017,8821.700195,24250.80078,16169.2998
20-02-2017,8879.200195,24405.34961,16349.9502
21-02-2017,8907.849609,24614.05078,16452.5
22-02-2017,8926.900391,24462.90039,16353.5
23-02-2017,8939.5,24376.84961,16357.65039
27-02-2017,8896.700195,24349.55078,16377.40039
28-02-2017,8879.599609,24424.34961,16480.5
01-03-2017,8945.799805,24456.65039,16539.30078
02-03-2017,8899.75,24102.69922,16289.09961
03-03-2017,8897.549805,24091.19922,16364.0498
