date,Nifty50,NiftyNext50,NiftyMidcap100
03-01-2017,9.81,0.97,1.02
04-01-2017,9.84,1.11,0.53
05-01-2017,8.73,0,0
06-01-2017,9.13,0.23,0.15
09-01-2017,9.23,0.18,0.02
10-01-2017,8.54,0,0
11-01-2017,7.35,0,0
12-01-2017,7.01,0,0
13-01-2017,7.09,0,0.09
16-01-2017,6.94,0,0
17-01-2017,7.12,0.05,0
18-01-2017,6.88,0,0
19-01-2017,6.65,0,0
20-01-2017,7.75,1.49,1.67
23-01-2017,7.21,0.62,1.19
24-01-2017,6.14,0,0.2
25-01-2017,4.57,0,0
27-01-2017,4.11,0,0
30-01-2017,4.21,0,0.02
31-01-2017,5.08,1.6,1.48
01-02-2017,3.21,0,0
02-02-2017,3,0,0
03-02-2017,2.92,0,0
06-02-2017,2.22,0,0
07-02-2017,2.6,0.31,0.45
08-02-2017,2.59,0,0
09-02-2017,2.48,0,0
10-02-2017,2.31,0.23,0.11
13-02-2017,2.17,0.22,0.71
14-02-2017,2.32,1.18,0.96
15-02-2017,3.11,2.47,2.61
16-02-2017,2.49,0.72,0.94
17-02-2017,1.98,0.03,0.48
20-02-2017,1.32,0,0
21-02-2017,0.99,0,0
22-02-2017,0.78,0.62,0.61
23-02-2017,0.63,0.97,0.58
27-02-2017,1.12,1.09,0.46
28-02-2017,1.31,0.78,0
01-03-2017,0.56,0.64,0
02-03-2017,1.08,2.12,1.54
03-03-2017,1.11,2.17,1.07
06-03-2017,0.37,1.59,0.45
07-03-2017,0.55,1.69,0.42
08-03-2017,0.81,2.03,1.08
09-03-2017,0.78,2.18,1.26
10-03-2017,0.69,2.38,1.52
14-03-2017,0,0.77,0.08
15-03-2017,0.02,0.13,0
16-03-2017,0,0,0
17-03-2017,0,0.04,0
20-03-2017,0.36,0.03,0
21-03-2017,0.42,0.58,0.21
22-03-2017,1.44,1.53,1.44
23-03-2017,0.81,0.52,0.41
24-03-2017,0.57,0.48,0.15
27-03-2017,1.27,0.9,0.2
28-03-2017,0.65,0.13,0
29-03-2017,0.18,0.06,0
30-03-2017,0,0,0
31-03-2017,0,0,0
03-04-2017,0,0,0
05-04-2017,0,0,0
06-04-2017,0.03,0,0
07-04-2017,0.73,0.03,0.41
10-04-2017,0.91,0,0
11-04-2017,0.3,0,0
12-04-2017,0.67,0,0.6
13-04-2017,1.25,0.17,0.85
17-04-2017,1.38,0.4,0.4
18-04-2017,1.76,1.47,1.08
19-04-2017,1.78,0.86,0.36
20-04-2017,1.41,0.5,0
21-04-2017,1.6,0.27,0
24-04-2017,0.51,0,0
25-04-2017,0,0,0
26-04-2017,0,0.2,0.22
27-04-2017,0.1,0.69,0.31
28-04-2017,0.51,0.52,0
02-05-2017,0.41,0.01,0
03-05-2017,0.43,0.08,0.34
04-05-2017,0,0,0
05-05-2017,0.8,1.42,1
08-05-2017,0.49,0.99,0.36
09-05-2017,0.46,0.19,0
10-05-2017,0,0,0
11-05-2017,0,0,0
12-05-2017,0.23,0.47,0.66
15-05-2017,0,0,0
16-05-2017,0,0.03,0
17-05-2017,0,0.56,0.26
18-05-2017,1.02,2.66,2.6
19-05-2017,1.04,3.26,3.22
22-05-2017,0.93,4.13,4.39
23-05-2017,1.49,5.54,6.16
24-05-2017,1.76,7.16,8.05
25-05-2017,0.17,6.07,6.65
26-05-2017,0,3.72,5.18
29-05-2017,0,4.75,7.39
30-05-2017,0,3.98,6.24
31-05-2017,0.03,3.54,5.64
01-06-2017,0.09,3.27,5
02-06-2017,0,2.64,4.1
05-06-2017,0,1.86,3.76
06-06-2017,0.39,2.61,4.31
07-06-2017,0.12,1.99,3.6
08-06-2017,0.29,1.67,3.32
09-06-2017,0.07,1.29,2.8
